rw,#threads,reqsize(kb),ioengine,iodepth,throughput(bytes/s),iops,bw_mean
randread,1,4,libaio,32,1029058339,251233.879435,1006806.252101
randread,2,4,libaio,32,1191897907,290988.566857,1164981.45
randread,4,4,libaio,32,1192293574,291083.048616,1165603.275
randread,8,4,libaio,32,1192203050,291056.748108,1165438.833333
randread,16,4,libaio,32,1192216493,291051.480759,1165288.827871
randread,1,8,libaio,32,1464375056,178755.654072,1431214.416667
randread,2,8,libaio,32,1490279503,181916.78472,1456522.283333
randread,4,8,libaio,32,1490740435,181970.934302,1457454.55
randread,8,8,libaio,32,1490916148,181988.150592,1457967.583333
randread,16,8,libaio,32,1490941542,181982.684776,1457126.558333
randread,1,16,libaio,32,1721030780,105042.315961,1682070.25
randread,2,16,libaio,32,1718854226,104908.419719,1680102.983333
randread,4,16,libaio,32,1717509465,104824.225455,1678768.558333
randread,8,16,libaio,32,1716840601,104779.201733,1678564.116667
randread,16,16,libaio,32,1715490640,104688.191574,1676915.216667
randread,1,32,libaio,32,2295724408,70058.882352,2243789.383333
randread,2,32,libaio,32,2276692809,69477.034099,2225335.791667
randread,4,32,libaio,32,2294615733,70021.89854,2243014.125
randread,8,32,libaio,32,2292087934,69940.523606,2240559.625
randread,16,32,libaio,32,2287945935,69805.572219,2234185.72395
randread,1,64,libaio,32,2798192346,42695.960135,2734637.866667
randread,2,64,libaio,32,2797106275,42678.338111,2733966.483333
randread,4,64,libaio,32,2797969777,42689.431057,2735164.7
randread,8,64,libaio,32,2793733827,42620.529912,2729492.75105
randread,16,64,libaio,32,2790286707,42559.384164,2726244.185294
randread,1,128,libaio,32,2929830442,22351.782411,2863600.833333
randread,2,128,libaio,32,2928668259,22341.865813,2862754.583333
randread,4,128,libaio,32,2928668120,22339.748717,2862918.083333
randread,8,128,libaio,32,2929146156,22339.164626,2864279.246709
randread,16,128,libaio,32,2928548298,22326.042777,2863477.130322
randread,1,256,libaio,32,2923089519,11149.651701,2856972.625
randread,2,256,libaio,32,2923050624,11148.436979,2857014.016667
randread,4,256,libaio,32,2924362343,11151.358646,2858679.883333
randread,8,256,libaio,32,2923569255,11144.120586,2860672.246218
randread,16,256,libaio,32,2924645748,11139.672339,2855825.596919
randread,1,512,libaio,32,2902961304,5535.909485,2837395.358333
randread,2,512,libaio,32,2901341522,5531.770625,2835982.025
randread,4,512,libaio,32,2904579095,5535.83146,2839357.916667
randread,8,512,libaio,32,2905373691,5533.103598,2841540.932703
randread,16,512,libaio,32,2906047755,5525.897342,2833610.752521